23.19,42.07,17.72,48.00,56.68,34.44
28.07,19.68,21.62,23.54,39.37,40.66
17.49,20.95,24.30,33.80,49.75,44.86
13.87,27.67,46.99,52.99,72.13,67.47
14.21,20.11,28.41,36.80,53.71,49.02
14.19,19.58,29.15,36.89,54.04,49.75
12.01,23.49,27.27,39.17,55.16,47.84
20.34,13.05,31.27,31.77,50.54,51.49
5.19,35.60,33.95,52.76,67.46,53.10
17.32,16.29,29.89,34.11,52.04,50.36
31.21,1.87,39.46,26.90,48.44,58.36
31.71,23.89,18.27,21.81,35.38,36.33
34.01,23.84,19.62,19.30,33.14,36.69
38.23,32.12,13.70,22.36,29.87,28.58
35.31,16.25,28.66,15.78,35.09,45.58
8.87,23.85,31.13,42.16,58.85,51.65
28.46,9.67,31.61,23.94,43.84,50.57
10.56,28.61,44.54,52.74,71.22,64.91
20.37,29.55,16.33,36.35,48.47,36.86
6.07,29.42,40.78,51.69,69.24,60.99
31.24,3.19,38.31,25.79,47.22,57.11
33.47,13.37,30.17,18.10,37.99,47.79
26.82,32.17,10.33,33.46,43.18,30.93
38.46,19.02,28.76,12.53,31.74,44.50
14.25,17.41,35.88,39.78,58.54,56.47
21.61,11.58,32.17,30.97,50.14,52.25
24.29,22.88,18.81,28.50,42.80,38.90
9.95,24.61,28.65,41.18,57.21,49.16
24.53,9.22,32.98,28.59,48.35,52.69
39.48,15.79,33.49,12.88,34.21,49.44
15.81,30.23,20.32,40.32,53.23,40.53
38.13,34.78,10.41,25.67,31.45,25.55
19.90,11.83,37.47,36.05,55.93,57.81
37.72,11.64,35.93,16.68,38.40,52.81
25.02,8.67,33.39,28.34,48.25,53.04
32.93,9.74,49.65,37.31,59.37,69.21
26.77,6.78,34.84,27.54,47.95,54.26
23.09,8.89,35.33,31.45,51.47,55.30
17.33,35.53,19.60,44.40,55.68,38.72
34.12,14.23,29.77,17.28,37.05,47.17
57.20,36.17,37.43,7.94,14.65,45.01
66.52,50.86,38.18,23.81,3.04,37.50
66.51,52.88,36.36,26.78,7.42,33.81
70.64,48.86,47.98,20.80,11.08,50.89
61.72,47.45,33.13,21.67,7.05,33.67
77.10,62.34,46.36,34.99,12.65,40.72
74.70,55.36,48.52,27.08,8.52,47.99
68.21,46.73,45.73,18.56,10.13,49.23
51.66,24.22,43.04,9.31,30.33,55.92
76.20,52.96,54.33,25.60,16.59,56.84
58.42,41.24,33.74,14.45,9.00,38.31
68.90,48.86,44.56,20.58,6.70,46.64
56.29,37.80,33.86,10.69,12.20,40.38
54.33,45.54,22.87,24.91,17.84,23.91
66.81,47.05,42.65,18.80,6.17,45.29
69.20,50.93,42.88,22.87,3.07,43.35
69.72,55.17,39.81,28.33,6.83,36.69
66.32,45.41,43.61,17.14,8.99,47.34
59.94,43.84,33.65,17.36,7.15,36.64
73.69,65.61,39.12,41.66,22.81,27.67
70.02,56.37,39.30,29.92,8.90,35.17
80.91,56.06,60.49,29.94,23.06,63.33
74.14,54.70,48.15,26.42,8.19,47.90
65.37,51.95,35.25,26.09,7.67,33.08
78.06,63.29,47.23,35.90,13.54,41.30
63.56,48.55,35.25,22.11,5.01,35.44
60.68,43.01,35.82,15.66,7.00,39.58
72.25,50.58,49.14,22.51,11.28,51.44
65.77,52.63,35.34,26.87,8.32,32.69
54.48,45.12,23.45,24.10,17.05,24.85
52.98,51.06,17.47,35.00,28.55,12.51
54.15,61.96,20.94,51.60,46.44,6.54
55.30,61.98,21.29,50.63,44.70,4.50
65.42,73.16,32.42,60.60,51.80,13.54
48.96,53.21,13.36,42.07,38.50,7.28
57.98,70.58,29.53,62.75,58.05,17.80
55.71,66.56,25.35,57.92,53.21,13.07
53.94,58.86,18.86,46.69,40.84,2.05
68.25,68.57,32.27,50.52,37.55,13.33
63.22,64.93,27.37,48.65,38.00,8.01
59.17,52.83,25.03,32.31,21.05,19.32
68.61,70.74,32.96,53.84,41.60,12.77
42.71,48.85,7.79,40.98,40.86,13.24
55.90,60.92,20.94,48.33,41.67,1.37
50.24,65.14,25.20,60.45,58.82,20.30
56.39,65.89,24.68,56.17,50.77,10.50
45.23,54.89,13.77,48.08,46.97,12.52
56.86,59.69,21.11,45.49,37.80,2.73
57.90,58.61,21.85,42.81,34.05,6.63
63.03,70.77,29.98,58.60,50.47,11.44
46.18,53.17,12.07,44.50,42.62,9.90
51.62,64.08,23.22,57.41,54.56,15.48
52.99,57.73,17.78,45.70,40.23,2.91
46.11,47.09,10.26,35.17,33.27,13.22
82.22,86.76,47.71,69.85,55.85,27.13
52.19,60.66,19.49,51.20,46.97,7.86
57.00,47.52,25.41,25.65,15.96,24.83
73.98,74.41,38.07,55.64,41.15,18.47
46.07,49.65,10.14,39.14,37.13,10.75
57.22,64.53,23.71,53.17,46.73,6.45
